"variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","season","year","planting_date"
"INTA Rojo","INTA Centro Sur","ALS 0532-6","B","C","Worse","Better","Worse",-85.655,13.363,"Ap15",2016,2016-01-01
"INTA Rojo","PM2 Don Rey","INTA Ferroso","C","A","Worse","Worse","Better",-85.633,13.439,"Ap15",2015,2015-12-19
"PM2 Don Rey","INTA Centro Sur","SJC 730-79","C","A","Worse","Worse","Better",-85.257,12.906,"Ap15",2015,2015-12-16
"INTA Centro Sur","INTA Precoz","INTA Sequia","C","A","Worse","Worse","Better",-85.567,13.436,"Ap15",2015,2015-12-24
"PM2 Don Rey","INTA Centro Sur","ALS 0532-6","C","A","Worse","Worse","Better",-85.273,12.895,"Ap15",2015,2015-12-15
"PM2 Don Rey","ALS 0532-6","INTA Matagalpa","C","A","Worse","Worse","Better",-85.644,13.351,"Ap15",2015,2015-12-05
"INTA Centro Sur","INTA Rojo","ALS 0532-6","A","C","Worse","Worse","Better",-86.001,13.084,"Ap15",2015,2015-12-03
"ALS 0532-6","INTA Ferroso","SJC 730-79","A","B","Better","Worse","Worse",-85.202,12.879,"Ap15",2015,2015-12-15
"INTA Rojo","BRT 103-182","INTA Centro Sur","B","A","Worse","Better","Worse",-85.674,13.38,"Ap15",2016,2016-01-08
"PM2 Don Rey","INTA Precoz","ALS 0532-6","C","A","Better","Worse","Better",-85.615,13.406,"Ap15",2015,2015-12-25
"ALS 0532-6","INTA Centro Sur","INTA Matagalpa","C","A","Worse","Worse","Better",-85.679,13.381,"Ap15",2015,2015-12-16
"INTA Rojo","INTA Ferroso","INTA Centro Sur","C","A","Worse","Worse","Better",-85.608,13.414,"Ap15",2015,2015-12-14
"ALS 0532-6","INTA Matagalpa","BRT 103-182","C","A","Worse","Worse","Better",-85.573,13.427,"Ap15",2015,2015-12-18
"PM2 Don Rey","ALS 0532-6","SJC 730-79","B","A","Worse","Better","Worse",-85.459,12.816,"Ap15",2015,2015-12-07
"SJC 730-79","INTA Ferroso","INTA Sequia","A","B","Better","Worse","Better",-85.611,13.416,"Ap15",2015,2015-12-16
"INTA Sequia","INTA Precoz","SJC 730-79","C","A","Worse","Worse","Better",-85.599,13.404,"Ap15",2015,2015-12-20
"INTA Precoz","INTA Ferroso","ALS 0532-6","A","C","Better","Worse","Worse",-85.757,13.466,"Ap15",2015,2015-12-20
"BRT 103-182","PM2 Don Rey","INTA Sequia","B","A","Worse","Better","Worse",-85.457,12.813,"Ap15",2015,2015-12-08
"INTA Rojo","INTA Matagalpa","BRT 103-182","C","B","Better","Worse","Better",-85.682,13.387,"Ap15",2015,2015-12-28
"INTA Sequia","ALS 0532-6","INTA Ferroso","A","C","Better","Better","Worse",-85.456,12.794,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Rojo","PM2 Don Rey","C","A","Worse","Worse","Better",-85.674,13.365,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Precoz","PM2 Don Rey","A","C","Better","Better","Worse",-85.608,13.407,"Ap15",2015,2015-12-25
"INTA Ferroso","INTA Precoz","BRT 103-182","A","C","Better","Better","Worse",-85.538,12.681,"Ap15",2015,2015-12-08
"INTA Sequia","INTA Precoz","BRT 103-182","C","A","Worse","Worse","Better",-85.607,13.39,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Precoz","SJC 730-79","B","C","Worse","Better","Worse",-85.649,13.382,"Ap15",2015,2015-12-22
"ALS 0532-6","BRT 103-182","INTA Ferroso","B","C","Worse","Better","Worse",-85.674,13.374,"Ap15",2016,2016-01-06
"INTA Ferroso","ALS 0532-6","INTA Centro Sur","C","B","Worse","Worse","Better",-85.713,13.404,"Ap15",2015,2015-12-18
"INTA Centro Sur","SJC 730-79","PM2 Don Rey","C","A","Better","Worse","Worse",-85.711,13.424,"Ap15",2015,2015-12-18
"INTA Matagalpa","SJC 730-79","INTA Precoz","B","A","Worse","Better","Worse",-85.649,13.42,"Ap15",2015,2015-12-24
"INTA Sequia","INTA Matagalpa","ALS 0532-6","C","A","Worse","Worse","Better",-85.226,12.871,"Ap15",2015,2015-12-15
"INTA Precoz","INTA Ferroso","SJC 730-79","C","B","Worse","Worse","Better",-85.279,12.923,"Ap15",2015,2015-12-26
"INTA Sequia","INTA Precoz","BRT 103-182","C","A","Better","Better","Better",-85.665,13.39,"Ap15",2015,2015-12-30
"INTA Centro Sur","INTA Matagalpa","INTA Precoz","A","C","Worse","Worse","Worse",-85.641,13.376,"Ap15",2016,2016-01-04
"INTA Ferroso","INTA Matagalpa","INTA Centro Sur","B","A","Worse","Worse","Better",-85.674,13.378,"Ap15",2015,2015-12-19
"SJC 730-79","INTA Sequia","INTA Rojo","A","B","Better","Worse","Worse",-85.669,13.365,"Ap15",2016,2016-01-05
"BRT 103-182","INTA Sequia","INTA Centro Sur","A","C","Better","Worse","Worse",-85.465,12.791,"Ap15",2015,2015-12-14
"BRT 103-182","INTA Rojo","PM2 Don Rey","C","A","Worse","Worse","Worse",-85.678,13.382,"Ap15",2015,2015-12-15
"INTA Sequia","INTA Precoz","SJC 730-79","A","B","Better","Worse","Worse",-85.679,13.381,"Ap15",2015,2015-12-18
"INTA Rojo","INTA Centro Sur","SJC 730-79","A","C","Better","Worse","Worse",-85.589,13.407,"Ap15",2015,2015-12-21
"PM2 Don Rey","INTA Precoz","INTA Ferroso","B","A","Worse","Worse","Worse",-85.557,13.43,"Ap15",2015,2015-12-21
"SJC 730-79","INTA Ferroso","INTA Sequia","B","A","Worse","Worse","Better",-85.367,12.911,"Ap15",2016,2016-01-02
"ALS 0532-6","INTA Precoz","BRT 103-182","A","B","Better","Worse","Worse",-85.585,13.43,"Ap15",2016,2016-01-01
"INTA Rojo","SJC 730-79","PM2 Don Rey","B","C","Worse","Better","Worse",-85.676,13.381,"Ap15",2015,2015-12-15
"BRT 103-182","INTA Rojo","INTA Ferroso","C","A","Worse","Worse","Worse",-85.451,12.798,"Ap15",2015,2015-12-17
"INTA Sequia","INTA Ferroso","BRT 103-182","A","C","Better","Better","Worse",-85.644,13.368,"Ap15",2015,2015-12-21
"INTA Ferroso","INTA Sequia","BRT 103-182","A","B","Worse","Better","Worse",-85.637,13.382,"Ap15",2016,2016-01-04
"PM2 Don Rey","BRT 103-182","INTA Ferroso","A","B","Worse","Better","Worse",-85.63,13.385,"Ap15",2015,2015-12-24
"ALS 0532-6","SJC 730-79","INTA Centro Sur","C","B","Worse","Worse","Better",-85.61,13.376,"Ap15",2015,2015-12-17
"PM2 Don Rey","INTA Precoz","INTA Sequia","C","B","Better","Worse","Better",-85.534,12.658,"Ap15",2015,2015-12-08
"SJC 730-79","PM2 Don Rey","INTA Precoz","C","B","Better","Worse","Better",-85.253,12.877,"Ap15",2015,2015-12-16
"INTA Matagalpa","INTA Sequia","INTA Ferroso","C","A","Worse","Worse","Better",-85.46,12.805,"Ap15",2015,2015-12-16
"INTA Matagalpa","INTA Rojo","ALS 0532-6","A","B","Better","Worse","Better",-85.665,13.424,"Ap15",2015,2015-12-27
"BRT 103-182","INTA Precoz","PM2 Don Rey","B","A","Worse","Worse","Worse",-85.46,12.818,"Ap15",2015,2015-12-06
"INTA Ferroso","INTA Centro Sur","ALS 0532-6","B","C","Worse","Worse","Worse",-85.632,13.392,"Ap15",2015,2015-12-20
"INTA Centro Sur","INTA Precoz","INTA Ferroso","A","B","Worse","Better","Worse",-85.379,12.863,"Ap15",2015,2015-12-29
"PM2 Don Rey","INTA Rojo","BRT 103-182","A","C","Worse","Worse","Worse",-85.671,13.364,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Sequia","SJC 730-79","A","C","Better","Worse","Worse",-85.459,12.833,"Ap15",2015,2015-12-15
"PM2 Don Rey","INTA Centro Sur","INTA Matagalpa","C","B","Worse","Worse","Better",-85.665,13.374,"Ap15",2015,2015-12-30
"INTA Precoz","PM2 Don Rey","INTA Sequia","B","A","Worse","Better","Worse",-85.668,13.365,"Ap15",2015,2015-12-15
"BRT 103-182","SJC 730-79","INTA Ferroso","A","C","Better","Worse","Worse",-85.669,13.364,"Ap15",2015,2015-12-15
"INTA Matagalpa","INTA Ferroso","INTA Centro Sur","C","B","Worse","Worse","Better",-85.347,12.914,"Ap15",2016,2016-01-20
"PM2 Don Rey","INTA Rojo","ALS 0532-6","A","B","Worse","Worse","Worse",-85.597,13.39,"Ap15",2015,2015-12-15
"ALS 0532-6","INTA Sequia","BRT 103-182","A","C","Better","Worse","Better",-85.663,13.36,"Ap15",2015,2015-12-20
"INTA Matagalpa","INTA Ferroso","PM2 Don Rey","B","C","Better","Better","Better",-85.625,13.391,"Ap15",2016,2016-01-03
"INTA Sequia","INTA Centro Sur","INTA Precoz","A","C","Better","Worse","Worse",-85.654,13.356,"Ap15",2015,2015-12-15
"INTA Matagalpa","PM2 Don Rey","SJC 730-79","A","C","Better","Worse","Worse",-85.57,13.42,"Ap15",2015,2015-12-16
"ALS 0532-6","INTA Ferroso","BRT 103-182","B","C","Worse","Worse","Better",-85.627,13.403,"Ap15",2015,2015-12-20
"INTA Precoz","INTA Matagalpa","INTA Sequia","B","A","Worse","Better","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Sequia","BRT 103-182","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Centro Sur","INTA Precoz","BRT 103-182","A","C","Better","Worse","Worse",-85.55,13.385,"Ap16",2016,2016-12-31
"INTA Sequia","SJC 730-79","ALS 0532-6","B","C","Worse","Better","Worse",-85.602,13.072,"Ap16",2016,2016-12-27
"BRT 103-182","PM2 Don Rey","INTA Sequia","C","A","Worse","Worse","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"SJC 730-79","ALS 0532-6","BRT 103-182","A","C","Better","Worse","Worse",-85.602,13.072,"Ap16",2016,2016-12-27
"INTA Matagalpa","INTA Centro Sur","INTA Precoz","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","BRT 103-182","INTA Sequia","A","C","Better","Worse","Worse",-85.735,13.139,"Ap16",2016,2016-12-31
"INTA Precoz","INTA Sequia","INTA Centro Sur","C","A","Worse","Worse","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"ALS 0532-6","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Sequia","PM2 Don Rey","B","A","Worse","Better","Worse",-85.735,13.139,"Ap16",2016,2016-12-24
"INTA Matagalpa","SJC 730-79","INTA Precoz","C","A","Worse","Worse","Better",-85.735,13.139,"Ap16",2016,2016-12-23
"INTA Sequia","PM2 Don Rey","INTA Matagalpa","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Centro Sur","PM2 Don Rey","INTA Ferroso","C","A","Worse","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-21
"ALS 0532-6","BRT 103-182","INTA Matagalpa","A","C","Better","Worse","Worse",-85.653,13.369,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Matagalpa","INTA Rojo","A","C","Better","Worse","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Centro Sur","INTA Precoz","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"SJC 730-79","INTA Centro Sur","INTA Rojo","C","B","Worse","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-22
"INTA Precoz","INTA Ferroso","INTA Sequia","C","A","Worse","Worse","Better",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Precoz","INTA Centro Sur","INTA Sequia","C","A","Worse","Worse","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Matagalpa","INTA Rojo","ALS 0532-6","C","A","Worse","Worse","Better",-85.735,13.139,"Ap16",2016,2016-12-23
"INTA Centro Sur","INTA Matagalpa","INTA Precoz","B","C","Worse","Better","Worse",-85.873,13.072,"Ap16",2016,2016-12-27
"INTA Sequia","BRT 103-182","INTA Centro Sur","A","B","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"BRT 103-182","SJC 730-79","ALS 0532-6","C","A","Worse","Worse","Better",-85.653,13.369,"Ap16",2016,2016-12-27
"PM2 Don Rey","INTA Precoz","SJC 730-79","B","C","Worse","Better","Worse",-85.476,12.819,"Ap16",2016,2016-12-22
"INTA Ferroso","BRT 103-182","INTA Rojo","B","A","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"PM2 Don Rey","INTA Matagalpa","BRT 103-182","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"PM2 Don Rey","INTA Matagalpa","BRT 103-182","A","B","Better","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-30
"SJC 730-79","INTA Rojo","INTA Precoz","C","A","Worse","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-25
"INTA Ferroso","PM2 Don Rey","SJC 730-79","C","A","Worse","Worse","Better",-85.735,13.139,"Ap16",2017,2017-01-06
"ALS 0532-6","INTA Ferroso","INTA Matagalpa","A","B","Better","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-25
"INTA Centro Sur","ALS 0532-6","PM2 Don Rey","A","B","Better","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-14
"INTA Matagalpa","INTA Precoz","BRT 103-182","A","C","Better","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-22
"SJC 730-79","INTA Rojo","INTA Sequia","C","A","Worse","Worse","Better",-85.836,13.337,"Ap16",2016,2016-12-27
"ALS 0532-6","INTA Ferroso","BRT 103-182","A","C","Better","Better","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Ferroso","INTA Sequia","ALS 0532-6","A","C","Better","Worse","Worse",-85.735,13.139,"Ap16",2016,2016-12-27
"PM2 Don Rey","SJC 730-79","INTA Ferroso","B","A","Worse","Better","Worse",-85.653,13.369,"Ap16",2016,2016-12-27
"INTA Centro Sur","INTA Rojo","INTA Ferroso","A","C","Better","Worse","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Centro Sur","INTA Precoz","PM2 Don Rey","B","C","Better","Better","Better",-85.549,13.385,"Ap16",2017,2017-01-01
"INTA Precoz","INTA Sequia","SJC 730-79","C","A","Worse","Better","Better",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Ferroso","INTA Matagalpa","INTA Precoz","B","C","Better","Better","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Centro Sur","INTA Matagalpa","A","B","Better","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-24
"INTA Rojo","SJC 730-79","ALS 0532-6","B","A","Better","Better","Worse",-85.735,13.139,"Ap16",2016,2016-12-25
"INTA Matagalpa","ALS 0532-6","INTA Sequia","A","B","Better","Better","Better",-85.873,13.072,"Ap16",2016,2016-12-27
"INTA Precoz","INTA Sequia","INTA Rojo","B","C","Better","Better","Better",-85.653,13.369,"Ap16",2016,2016-12-27
"ALS 0532-6","INTA Centro Sur","BRT 103-182","B","A","Worse","Better","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Ferroso","INTA Sequia","BRT 103-182","A","C","Better","Better","Better",-85.566,13.387,"Ap16",2017,2017-01-10
"INTA Sequia","SJC 730-79","INTA Matagalpa","A","B","Better","Better","Better",-85.565,13.387,"Ap16",2016,2016-12-29
"SJC 730-79","INTA Centro Sur","INTA Ferroso","A","C","Better","Better","Worse",-85.476,12.819,"Ap16",2016,2016-12-13
"INTA Rojo","ALS 0532-6","INTA Ferroso","B","C","Better","Better","Better",-85.476,12.819,"Ap16",2016,2016-12-20
"INTA Matagalpa","PM2 Don Rey","BRT 103-182","C","A","Worse","Better","Better",-85.796,13.337,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Centro Sur","INTA Ferroso","A","C","Better","Worse","Worse",-85.476,12.819,"Ap16",2017,2017-01-02
"PM2 Don Rey","SJC 730-79","INTA Centro Sur","C","B","Worse","Worse","Better",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Ferroso","SJC 730-79","C","A","Worse","Worse","Better",-85.653,13.369,"Ap16",2016,2016-12-27
"INTA Centro Sur","INTA Ferroso","ALS 0532-6","A","C","Better","Better","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Sequia","INTA Rojo","INTA Matagalpa","B","A","Better","Better","Better",-85.571,13.39,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Matagalpa","INTA Rojo","A","B","Better","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-21
"INTA Matagalpa","INTA Centro Sur","INTA Rojo","A","B","Better","Worse","Better",-85.916,13.369,"Ap16",2016,2016-12-27
"INTA Matagalpa","INTA Precoz","INTA Rojo","A","C","Better","Worse","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"SJC 730-79","ALS 0532-6","INTA Centro Sur","A","B","Better","Worse","Worse",-85.653,13.369,"Ap16",2016,2016-12-27
"PM2 Don Rey","BRT 103-182","INTA Rojo","A","B","Better","Worse","Worse",-85.476,12.819,"Ap16",2017,2017-01-03
"INTA Precoz","INTA Sequia","ALS 0532-6","B","A","Worse","Worse","Worse",-85.476,12.819,"Ap16",2016,2016-12-26
"INTA Centro Sur","ALS 0532-6","INTA Rojo","A","C","Better","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Ferroso","INTA Sequia","ALS 0532-6","A","B","Better","Worse","Better",-85.873,13.337,"Ap16",2016,2016-12-27
"PM2 Don Rey","SJC 730-79","INTA Centro Sur","A","B","Worse","Better","Worse",-85.735,13.139,"Ap16",2016,2016-12-31
"INTA Ferroso","ALS 0532-6","BRT 103-182","B","C","Worse","Better","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","SJC 730-79","BRT 103-182","A","B","Better","Worse","Worse",-85.865,12.819,"Ap16",2016,2016-12-03
"SJC 730-79","INTA Rojo","INTA Ferroso","B","A","Worse","Better","Worse",-85.476,12.819,"Ap16",2016,2016-12-24
"INTA Ferroso","INTA Sequia","PM2 Don Rey","B","C","Better","Better","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Centro Sur","INTA Ferroso","B","C","Better","Worse","Worse",-85.653,13.369,"Ap16",2016,2016-12-27
"PM2 Don Rey","ALS 0532-6","INTA Centro Sur","A","B","Worse","Worse","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"PM2 Don Rey","INTA Precoz","INTA Centro Sur","C","B","Better","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-28
"INTA Precoz","INTA Rojo","ALS 0532-6","C","B","Worse","Better","Better",-85.602,13.072,"Ap16",2016,2016-12-27
"INTA Rojo","ALS 0532-6","INTA Sequia","B","A","Worse","Better","Better",-85.476,12.819,"Ap16",2016,2016-12-22
"INTA Matagalpa","PM2 Don Rey","ALS 0532-6","A","B","Better","Worse","Worse",-85.549,13.385,"Ap16",2016,2016-12-27
"SJC 730-79","BRT 103-182","INTA Rojo","B","A","Better","Better","Worse",-85.476,12.819,"Ap16",2016,2016-12-16
"INTA Matagalpa","INTA Sequia","PM2 Don Rey","B","C","Better","Better","Worse",-85.735,13.139,"Ap16",2016,2016-12-27
"BRT 103-182","INTA Precoz","PM2 Don Rey","A","C","Better","Better","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Sequia","SJC 730-79","INTA Precoz","C","B","Better","Better","Worse",-85.572,13.39,"Ap16",2016,2016-12-27
"INTA Rojo","SJC 730-79","BRT 103-182","C","A","Worse","Worse","Worse",-85.476,12.819,"Ap16",2017,2017-01-08
"SJC 730-79","ALS 0532-6","INTA Sequia","C","B","Worse","Worse","Better",-85.476,12.819,"Ap16",2016,2016-12-26
"PM2 Don Rey","INTA Matagalpa","INTA Rojo","C","A","Worse","Better","Better",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Centro Sur","INTA Precoz","SJC 730-79","A","C","Better","Worse","Worse",-85.873,13.337,"Ap16",2016,2016-12-27
"INTA Ferroso","INTA Centro Sur","INTA Matagalpa","A","C","Better","Worse","Worse",-85.476,12.819,"Ap16",2017,2017-01-04
"INTA Centro Sur","PM2 Don Rey","INTA Precoz","A","B","Worse","Better","Worse",-85.521,13.337,"Ap16",2016,2016-12-27
"INTA Rojo","INTA Ferroso","INTA Precoz","B","A","Worse","Better","Better",-85.873,13.337,"Ap16",2016,2016-12-27
"PM2 Don Rey","INTA Precoz","BRT 103-182","B","C","Better","Better","Better",-85.77,12.852,"Po15",2015,2015-09-12
"INTA Centro Sur","INTA Sequia","INTA Precoz","A","C","Better","Worse","Worse",-85.649,13.174,"Po15",2015,2015-09-11
"PM2 Don Rey","SJC 730-79","BRT 103-182","A","B","Better","Worse","Worse",-85.717,12.847,"Po15",2015,2015-10-22
"INTA Rojo","SJC 730-79","BRT 103-182","A","B","Better","Worse","Worse",-85.717,12.869,"Po15",2015,2015-09-23
"INTA Ferroso","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.799,12.863,"Po15",2015,2015-10-03
"INTA Centro Sur","PM2 Don Rey","BRT 103-182","A","B","Better","Worse","Worse",-85.567,12.727,"Po15",2015,2015-09-21
"INTA Ferroso","PM2 Don Rey","SJC 730-79","B","C","Worse","Better","Worse",-85.736,12.814,"Po15",2015,2015-09-28
"ALS 0532-6","BRT 103-182","INTA Centro Sur","B","C","Worse","Better","Worse",-85.811,12.881,"Po15",2015,2015-09-17
"INTA Matagalpa","INTA Sequia","INTA Ferroso","B","A","Worse","Better","Worse",-85.718,12.944,"Po15",2015,2015-10-02
"INTA Rojo","INTA Matagalpa","INTA Sequia","A","C","Better","Worse","Worse",-85.61,12.745,"Po15",2015,2015-09-21
"BRT 103-182","INTA Ferroso","INTA Matagalpa","C","A","Worse","Worse","Better",-85.611,12.739,"Po15",2015,2015-09-21
"INTA Sequia","INTA Precoz","PM2 Don Rey","A","C","Better","Worse","Worse",-85.586,13.166,"Po15",2015,2015-09-12
"ALS 0532-6","SJC 730-79","BRT 103-182","A","B","Better","Worse","Worse",-85.582,12.713,"Po15",2015,2015-09-20
"SJC 730-79","INTA Centro Sur","INTA Rojo","C","A","Worse","Worse","Better",-85.555,13.188,"Po15",2015,2015-09-11
"PM2 Don Rey","INTA Precoz","SJC 730-79","C","B","Worse","Worse","Better",-85.614,12.738,"Po15",2015,2015-09-21
"ALS 0532-6","SJC 730-79","PM2 Don Rey","A","C","Better","Worse","Worse",-85.789,12.844,"Po15",2015,2015-09-15
"BRT 103-182","INTA Ferroso","ALS 0532-6","A","C","Worse","Better","Worse",-85.714,12.877,"Po15",2015,2015-09-24
"SJC 730-79","INTA Ferroso","BRT 103-182","A","C","Better","Worse","Worse",-85.574,12.729,"Po15",2015,2015-09-20
"INTA Rojo","BRT 103-182","INTA Centro Sur","A","C","Better","Worse","Worse",-85.6,12.735,"Po15",2015,2015-09-21
"INTA Ferroso","SJC 730-79","INTA Matagalpa","C","A","Worse","Worse","Better",-85.828,12.879,"Po15",2015,2015-09-29
"SJC 730-79","INTA Ferroso","ALS 0532-6","A","C","Better","Worse","Worse",-85.763,12.812,"Po15",2015,2015-09-26
"INTA Matagalpa","INTA Sequia","PM2 Don Rey","A","C","Better","Worse","Better",-85.608,12.73,"Po15",2015,2015-09-20
"ALS 0532-6","INTA Rojo","BRT 103-182","B","C","Worse","Worse","Worse",-85.747,12.817,"Po15",2015,2015-09-29
"BRT 103-182","INTA Ferroso","INTA Rojo","A","C","Worse","Worse","Worse",-85.796,13.085,"Po15",2015,2015-09-20
"INTA Rojo","SJC 730-79","ALS 0532-6","B","A","Worse","Worse","Worse",-85.59,12.729,"Po15",2015,2015-09-20
"PM2 Don Rey","INTA Centro Sur","INTA Precoz","A","C","Worse","Worse","Worse",-85.68,12.91,"Po15",2015,2015-10-14
"SJC 730-79","INTA Matagalpa","ALS 0532-6","B","A","Worse","Better","Better",-85.68,12.794,"Po15",2015,2015-09-25
"SJC 730-79","ALS 0532-6","INTA Precoz","A","C","Better","Worse","Worse",-85.611,12.738,"Po15",2015,2015-09-20
"PM2 Don Rey","INTA Sequia","INTA Precoz","A","C","Worse","Worse","Worse",-85.739,12.811,"Po15",2015,2015-09-17
"PM2 Don Rey","INTA Sequia","ALS 0532-6","A","C","Worse","Worse","Worse",-85.501,13.096,"Po15",2015,2015-09-11
"INTA Sequia","INTA Matagalpa","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.703,12.946,"Po15",2015,2015-10-12
"INTA Centro Sur","INTA Rojo","INTA Precoz","A","C","Worse","Worse","Worse",-85.594,12.726,"Po15",2015,2015-09-21
"PM2 Don Rey","INTA Rojo","INTA Centro Sur","A","C","Worse","Worse","Worse",-85.77,12.841,"Po15",2015,2015-09-15
"BRT 103-182","ALS 0532-6","INTA Sequia","C","A","Worse","Worse","Better",-85.715,12.952,"Po15",2015,2015-09-22
"INTA Rojo","INTA Sequia","INTA Ferroso","B","C","Worse","Worse","Worse",-85.81,12.88,"Po15",2015,2015-09-22
"INTA Precoz","SJC 730-79","INTA Matagalpa","A","C","Worse","Worse","Worse",-85.757,12.827,"Po15",2015,2015-09-30
"BRT 103-182","ALS 0532-6","INTA Precoz","A","C","Worse","Worse","Worse",-85.776,12.839,"Po15",2015,2015-09-12
"INTA Centro Sur","INTA Matagalpa","SJC 730-79","C","A","Worse","Worse","Better",-85.6,12.714,"Po15",2015,2015-09-20
"PM2 Don Rey","INTA Rojo","INTA Sequia","A","C","Better","Worse","Worse",-85.729,12.8,"Po15",2015,2015-09-21
"BRT 103-182","INTA Rojo","INTA Ferroso","A","C","Better","Worse","Worse",-85.802,12.867,"Po15",2015,2015-09-23
"INTA Ferroso","BRT 103-182","SJC 730-79","A","C","Worse","Worse","Worse",-85.739,12.908,"Po15",2015,2015-09-14
"INTA Sequia","PM2 Don Rey","INTA Centro Sur","C","A","Worse","Worse","Better",-85.583,12.734,"Po15",2015,2015-09-20
"INTA Matagalpa","PM2 Don Rey","INTA Centro Sur","A","C","Better","Worse","Better",-85.685,12.827,"Po15",2015,2015-09-22
"INTA Rojo","PM2 Don Rey","INTA Sequia","A","C","Better","Worse","Worse",-85.605,13.149,"Po15",2015,2015-09-15
"INTA Matagalpa","ALS 0532-6","INTA Precoz","A","C","Better","Worse","Worse",-85.806,12.881,"Po15",2015,2015-09-24
"ALS 0532-6","INTA Precoz","INTA Centro Sur","A","C","Better","Worse","Worse",-85.784,13.074,"Po15",2015,2015-09-16
"INTA Precoz","INTA Matagalpa","INTA Ferroso","A","C","Better","Worse","Worse",-85.594,13.178,"Po15",2015,2015-09-17
"PM2 Don Rey","ALS 0532-6","BRT 103-182","C","A","Worse","Worse","Better",-85.803,12.879,"Po15",2015,2015-10-10
"ALS 0532-6","BRT 103-182","INTA Rojo","A","C","Better","Worse","Worse",-85.585,12.722,"Po15",2015,2015-09-20
"INTA Ferroso","ALS 0532-6","PM2 Don Rey","B","C","Worse","Better","Worse",-85.772,12.833,"Po15",2015,2015-09-15
"INTA Sequia","SJC 730-79","INTA Centro Sur","A","C","Better","Worse","Worse",-85.742,12.908,"Po15",2015,2015-09-23
"INTA Matagalpa","INTA Ferroso","INTA Precoz","C","B","Worse","Worse","Better",-85.798,12.892,"Po15",2015,2015-09-25
"INTA Ferroso","INTA Matagalpa","INTA Precoz","B","C","Worse","Better","Worse",-85.728,12.805,"Po15",2015,2015-09-29
"INTA Centro Sur","SJC 730-79","INTA Sequia","A","B","Better","Worse","Worse",-85.818,12.893,"Po15",2015,2015-09-23
